path,model,epoch,loss
holderlin/holderlin_e43_t0.1.txt,Hölderlin,43.75,1.3026
holderlin/holderlin_e43_t0.2.txt,Hölderlin,43.75,1.3026
holderlin/holderlin_e43_t0.3.txt,Hölderlin,43.75,1.3026
holderlin/holderlin_e43_t0.4.txt,Hölderlin,43.75,1.3026
holderlin/holderlin_e43_t0.5.txt,Hölderlin,43.75,1.3026
holderlin/holderlin_e43_t0.6.txt,Hölderlin,43.75,1.3026
holderlin/holderlin_e43_t0.7.txt,Hölderlin,43.75,1.3026
holderlin/holderlin_e43_t0.8.txt,Hölderlin,43.75,1.3026
holderlin/holderlin_e43_t0.9.txt,Hölderlin,43.75,1.3026
holderlin/holderlin_e43_t1.txt,Hölderlin,43.75,1.3026
holderlin/holderlin_e50_t0.1.txt,Hölderlin,50.00,1.3049
holderlin/holderlin_e50_t0.2.txt,Hölderlin,50.00,1.3049
holderlin/holderlin_e50_t0.3.txt,Hölderlin,50.00,1.3049
holderlin/holderlin_e50_t0.4.txt,Hölderlin,50.00,1.3049
holderlin/holderlin_e50_t0.5.txt,Hölderlin,50.00,1.3049
holderlin/holderlin_e50_t0.6.txt,Hölderlin,50.00,1.3049
holderlin/holderlin_e50_t0.7.txt,Hölderlin,50.00,1.3049
holderlin/holderlin_e50_t0.8.txt,Hölderlin,50.00,1.3049
holderlin/holderlin_e50_t0.9.txt,Hölderlin,50.00,1.3049
holderlin/holderlin_e50_t1.txt,Hölderlin,50.00,1.3049
fontane/fontane_e42_t0.1.txt,Fontane,42.25,1.4736
fontane/fontane_e42_t0.2.txt,Fontane,42.25,1.4736
fontane/fontane_e42_t0.3.txt,Fontane,42.25,1.4736
fontane/fontane_e42_t0.4.txt,Fontane,42.25,1.4736
fontane/fontane_e42_t0.5.txt,Fontane,42.25,1.4736
fontane/fontane_e42_t0.6.txt,Fontane,42.25,1.4736
fontane/fontane_e42_t0.7.txt,Fontane,42.25,1.4736
fontane/fontane_e42_t0.8.txt,Fontane,42.25,1.4736
fontane/fontane_e42_t0.9.txt,Fontane,42.25,1.4736
fontane/fontane_e42_t1.txt,Fontane,42.25,1.4736
fontane/fontane_e80_t0.1.txt,Fontane,80.00,1.5189
fontane/fontane_e80_t0.2.txt,Fontane,80.00,1.5189
fontane/fontane_e80_t0.3.txt,Fontane,80.00,1.5189
fontane/fontane_e80_t0.4.txt,Fontane,80.00,1.5189
fontane/fontane_e80_t0.5.txt,Fontane,80.00,1.5189
fontane/fontane_e80_t0.6.txt,Fontane,80.00,1.5189
fontane/fontane_e80_t0.7.txt,Fontane,80.00,1.5189
fontane/fontane_e80_t0.8.txt,Fontane,80.00,1.5189
fontane/fontane_e80_t0.9.txt,Fontane,80.00,1.5189
fontane/fontane_e80_t1.txt,Fontane,80.00,1.5189
celan/celan_t0.1.txt,Celan,46.30,1.5115
celan/celan_t0.2.txt,Celan,46.30,1.5115
celan/celan_t0.3.txt,Celan,46.30,1.5115
celan/celan_t0.4.txt,Celan,46.30,1.5115
celan/celan_t0.5.txt,Celan,46.30,1.5115
celan/celan_t0.6.txt,Celan,46.30,1.5115
celan/celan_t0.7.txt,Celan,46.30,1.5115
celan/celan_t0.8.txt,Celan,46.30,1.5115
celan/celan_t0.9.txt,Celan,46.30,1.5115
celan/celan_t1.txt,Celan,46.30,1.5115
hex/hexameter_e14_t0.1.txt,hexameter,14.34,1.3988
hex/hexameter_e14_t0.2.txt,hexameter,14.34,1.3988
hex/hexameter_e14_t0.3.txt,hexameter,14.34,1.3988
hex/hexameter_e14_t0.4.txt,hexameter,14.34,1.3988
hex/hexameter_e14_t0.5.txt,hexameter,14.34,1.3988
hex/hexameter_e14_t0.6.txt,hexameter,14.34,1.3988
hex/hexameter_e14_t0.7.txt,hexameter,14.34,1.3988
hex/hexameter_e14_t0.8.txt,hexameter,14.34,1.3988
hex/hexameter_e14_t0.9.txt,hexameter,14.34,1.3988
hex/hexameter_e14_t1.txt,hexameter,14.34,1.3988
hex/hexameter_e43_t0.1.txt,hexameter,43.01,1.3479
hex/hexameter_e43_t0.2.txt,hexameter,43.01,1.3479
hex/hexameter_e43_t0.3.txt,hexameter,43.01,1.3479
hex/hexameter_e43_t0.4.txt,hexameter,43.01,1.3479
hex/hexameter_e43_t0.5.txt,hexameter,43.01,1.3479
hex/hexameter_e43_t0.6.txt,hexameter,43.01,1.3479
hex/hexameter_e43_t0.7.txt,hexameter,43.01,1.3479
hex/hexameter_e43_t0.8.txt,hexameter,43.01,1.3479
hex/hexameter_e43_t0.9.txt,hexameter,43.01,1.3479
hex/hexameter_e43_t1.txt,hexameter,43.01,1.3479
hex/hexameter_e80_t0.1.txt,hexameter,80.00,1.3702
hex/hexameter_e80_t0.2.txt,hexameter,80.00,1.3702
hex/hexameter_e80_t0.3.txt,hexameter,80.00,1.3702
hex/hexameter_e80_t0.4.txt,hexameter,80.00,1.3702
hex/hexameter_e80_t0.5.txt,hexameter,80.00,1.3702
hex/hexameter_e80_t0.6.txt,hexameter,80.00,1.3702
hex/hexameter_e80_t0.7.txt,hexameter,80.00,1.3702
hex/hexameter_e80_t0.8.txt,hexameter,80.00,1.3702
hex/hexameter_e80_t0.9.txt,hexameter,80.00,1.3702
hex/hexameter_e80_t1.txt,hexameter,80.00,1.3702
